nuclide   ,mass                ,uncertainty         ,Year/link 
56Co      ,55.939838032        ,0.000000510         ,2020      
56Ni      ,55.942127761        ,0.000000428         ,2020      
56Cu      ,55.958529278        ,0.000006864         ,2020      
56Zn      ,55.972743           ,0.000429            ,2020      
56Ga      ,55.995878           ,0.000537            ,2020      
57K       ,57.015169           ,0.000644            ,2020      
57Ca      ,56.992958           ,0.000429            ,2020      
57Sc      ,56.977048000        ,0.000193000         ,2020      
57Ti      ,56.963068098        ,0.000221020         ,2020      
57V       ,56.952297000        ,0.000091000         ,2020      
57Cr      ,56.943612112        ,0.000002000         ,2020      
57Mn      ,56.938285944        ,0.000001615         ,2020      
57Fe      ,56.935391950        ,0.000000287         ,2020      
57Co      ,56.936289819        ,0.000000553         ,2020      
57Ni      ,56.939791394        ,0.000000608         ,2020      
57Cu      ,56.949211686        ,0.000000537         ,2020      
57Zn      ,56.965056           ,0.000215            ,2020      
57Ga      ,56.983457           ,0.000429            ,2020      
58K       ,58.023543           ,0.000751            ,2020      
58Ca      ,57.998357           ,0.000537            ,2020      
58Sc      ,57.983382000        ,0.000204000         ,2020      
58Ti      ,57.966808519        ,0.000196823         ,2020      
58V       ,57.956595985        ,0.000102862         ,2020      
58Cr      ,57.944184501        ,0.000003200         ,2020      
58Mn      ,57.940066643        ,0.000002900         ,2020      
58Fe      ,57.933273575        ,0.000000339         ,2020      
58Co      ,57.935751292        ,0.000001237         ,2020      
58Ni      ,57.935341650        ,0.000000374         ,2020      
58Cu      ,57.944532283        ,0.000000604         ,2020      
