z         nuclide   A         mass                uncertainty         Year/link 
20        Ca        40        39.962590850        0.000000022         2020      
20        Ca        41        40.962277905        0.000000147         2020      
20        Ca        42        41.958617780        0.000000159         2020      
20        Ca        43        42.958766381        0.000000244         2020      
20        Ca        44        43.955481489        0.000000348         2020      
20        Ca        45        44.956186270        0.000000392         2020      
20        Ca        46        45.953687726        0.000002398         2020      
20        Ca        47        46.954541134        0.000002384         2020      
20        Ca        48        47.952522654        0.000000018         2020      
20        Ca        49        48.955662625        0.000000190         2020      
20        Ca        50        49.957499215        0.000001700         2020      
20        Ca        51        50.960995663        0.000000560         2020      
20        Ca        52        51.963213646        0.000000720         2020      
20        Ca        53        52.968451000        0.000047000         2020      
20        Ca        54        53.972989000        0.000052000         2020      
20        Ca        55        54.979978000        0.000172000         2020      
20        Ca        56        55.985496000        0.000268000         2020      
20        Ca        57        56.992958           0.000429            2020      
20        Ca        58        57.998357           0.000537            2020      
20        Ca        59        59.006237           0.000644            2020      
20        Ca        60        60.011809           0.000751            2020      
20        Ca        61        61.020408           0.000859            2020      
--------------------------------------------------------------------------------
21        Sc        35        35.029093           0.000429            2020      
21        Sc        36        36.017338           0.000322            2020      
21        Sc        37        37.004058           0.000322            2020      
21        Sc        38        37.995438           0.000215            2020      
21        Sc        39        38.984784953        0.000025765         2020      
21        Sc        40        39.977967275        0.000003036         2020      
21        Sc        41        40.969251163        0.000000083         2020      
21        Sc        42        41.965516686        0.000000165         2020      
21        Sc        43        42.961150425        0.000001999         2020      
21        Sc        44        43.959402818        0.000001884         2020      
21        Sc        45        44.955907051        0.000000712         2020      
21        Sc        46        45.955167034        0.000000720         2020      
21        Sc        47        46.952402444        0.000002072         2020      
21        Sc        48        47.952222903        0.000005313         2020      
21        Sc        49        48.950013159        0.000002434         2020      
21        Sc        50        49.952187437        0.000002700         2020      
21        Sc        51        50.953568838        0.000002700         2020      
21        Sc        52        51.956496170        0.000003300         2020      
21        Sc        53        52.958379173        0.000019000         2020      
21        Sc        54        53.963029359        0.000015000         2020      
21        Sc        55        54.966889637        0.000067000         2020      
21        Sc        56        55.972607611        0.000278761         2020      
21        Sc        57        56.977048000        0.000193000         2020      
21        Sc        58        57.983382000        0.000204000         2020      
21        Sc        59        58.988374000        0.000268000         2020      
21        Sc        60        59.995115           0.000537            2020      
21        Sc        61        61.000537           0.000644            2020      
21        Sc        62        62.007848           0.000644            2020      
21        Sc        63        63.014031           0.000751            2020      
--------------------------------------------------------------------------------
22        Ti        37        37.027021           0.000429            2020      
22        Ti        38        38.012206           0.000322            2020      
22        Ti        39        39.002684           0.000215            2020      
22        Ti        40        39.990345146        0.000073262         2020      
22        Ti        41        40.983148000        0.000030000         2020      
22        Ti        42        41.973049369        0.000000289         2020      
22        Ti        43        42.968528420        0.000006139         2020      
22        Ti        44        43.959689936        0.000000751         2020      
22        Ti        45        44.958120758        0.000000897         2020      
22        Ti        46        45.952626356        0.000000097         2020      
22        Ti        47        46.951757491        0.000000085         2020      
22        Ti        48        47.947940677        0.000000079         2020      
22        Ti        49        48.947864391        0.000000084         2020      
22        Ti        50        49.944785622        0.000000088         2020      
22        Ti        51        50.946609468        0.000000519         2020      
22        Ti        52        51.946883509        0.000002948         2020      
22        Ti        53        52.949670714        0.000003100         2020      
22        Ti        54        53.950892000        0.000017000         2020      
22        Ti        55        54.955091000        0.000031000         2020      
22        Ti        56        55.957677675        0.000107569         2020      
22        Ti        57        56.963068098        0.000221020         2020      
22        Ti        58        57.966808519        0.000196823         2020      
22        Ti        59        58.972217           0.000322            2020      
22        Ti        60        59.976275000        0.000258000         2020      
22        Ti        61        60.982426           0.000322            2020      
22        Ti        62        61.986903           0.000429            2020      
22        Ti        63        62.993709           0.000537            2020      
22        Ti        64        63.998411           0.000644            2020      
22        Ti        65        65.005593           0.000751            2020      
--------------------------------------------------------------------------------
23        V         39        39.024230           0.000429            2020      
23        V         40        40.013387           0.000322            2020      
23        V         41        41.000333           0.000215            2020      
23        V         42        41.991820           0.000210            2020      
23        V         43        42.980766000        0.000046000         2020      
23        V         44        43.974440977        0.000007799         2020      
23        V         45        44.965768498        0.000000926         2020      
23        V         46        45.960197389        0.000000143         2020      
23        V         47        46.954903558        0.000000118         2020      
23        V         48        47.952250900        0.000001043         2020      
23        V         49        48.948510509        0.000000884         2020      
23        V         50        49.947156681        0.000000099         2020      
23        V         51        50.943957664        0.000000104         2020      
23        V         52        51.944773636        0.000000170         2020      
23        V         53        52.944334940        0.000003331         2020      
23        V         54        53.946432009        0.000012001         2020      
23        V         55        54.947262000        0.000029000         2020      
23        V         56        55.950420082        0.000188819         2020      
23        V         57        56.952297000        0.000091000         2020      
23        V         58        57.956595985        0.000102862         2020      
23        V         59        58.959623343        0.000147505         2020      
23        V         60        59.964479215        0.000195327         2020      
23        V         61        60.967603529        0.000252196         2020      
23        V         62        61.972932556        0.000283723         2020      
23        V         63        62.976661000        0.000365000         2020      
23        V         64        63.982480           0.000429            2020      
23        V         65        64.986999           0.000537            2020      
